First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0,,brian-foster
Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0,,xavier-foupa-pokam
Mason,Fowler,,"5' 11""",170 lbs.,--,,2,0,0,,mason-fowler
Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0,,brandon-foxworth
Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0,,hermes-franca
Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0,,glaico-franca moreira
Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13,5,1,,francisco-france
John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,,john-franchi
Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0,,rich-franklin
Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0,,zoila-frausto
Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0,,stephanie-frausto
Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0,,zane-frazier
Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0,,gary-frazier
Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0,,justin-frazier
Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1,,ian-freeman
Jason,Freeman,,"6' 2""",225 lbs.,--,,6,4,0,,jason-freeman
Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,,26,6,0,,willamy-freire
Patricio,Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0,,patricio-freire
Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0,,patricky-freire
Jeremy,Freitag,,"6' 1""",205 lbs.,--,,6,10,0,,jeremy-freitag
Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0,,rafael-freitas
Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,,donavon-frelow
Josh,Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,10,4,0,,josh-fremd
Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0,,clay-french
Mike,French,,"5' 10""",145 lbs.,--,,9,10,0,,mike-french
Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,10,3,1,,matt-frevola
Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,8,0,,jinh yu-frey
Artem,Frolov,,"5' 10""",185 lbs.,--,,11,0,0,,artem-frolov
Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0,,sarah-frota
Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1,,don-frye
Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1,,tony-fryklund
Adam,Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,9,3,0,,adam-fugitt
Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0,,jesse-fujarczyk
Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1,,katsuhisa-fujii
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,,megumi-fujii
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,,kazuyuki-fujita
Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,,keisuke-fujiwara
Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,,riki-fukuda
