First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Kazuma,Maruyama,,--,170 lbs.,--,,12,6,0,,kazuma-maruyama
Mike,Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0,,mike-massenzio
Jameel,Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0,,jameel-massouh
Tiffany,Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0,,tiffany-masters
Jorge,Masvidal,Gamebred,"5' 11""",170 lbs.,"74.0""",Orthodox,35,16,0,,jorge-masvidal
Al,Matavao,Sweetness,"5' 8""",205 lbs.,"67.0""",Orthodox,8,3,0,,al-matavao
Tateki,Matsuda,Tech,"5' 7""",125 lbs.,--,Orthodox,13,8,0,,tateki-matsuda
Daijiro,Matsui,,"5' 9""",200 lbs.,--,Orthodox,13,29,7,,daijiro-matsui
Koichiro,Matsumoto,,"5' 7""",145 lbs.,--,,15,3,1,,koichiro-matsumoto
Koyomi,Matsushima,,"5' 7""",145 lbs.,"66.0""",Orthodox,13,6,0,,koyomi-matsushima
Naoki,Matsushita,,"5' 6""",155 lbs.,--,Orthodox,12,16,11,,naoki-matsushita
AJ,Matthews,,"5' 11""",185 lbs.,--,,8,7,0,,aj-matthews
Jake,Matthews,The Celtic Kid,"5' 11""",170 lbs.,"73.0""",Orthodox,18,6,0,,jake-matthews
Connor,Matthews,The Controller,"5' 8""",145 lbs.,--,Switch,5,1,0,,connor-matthews
Claudio,Mattos,Popeye,--,185 lbs.,--,Orthodox,5,4,0,,claudio-mattos
John,Matua,,"6' 2""",400 lbs.,--,Orthodox,1,4,0,,john-matua
Francesco,Maturi,,--,--,--,,0,1,0,,francesco-maturi
Vladimir,Matyushenko,The Janitor,"6' 0""",205 lbs.,"74.0""",Orthodox,27,8,0,,vladimir-matyushenko
Miranda,Maverick,Fear The,"5' 3""",125 lbs.,"65.0""",Southpaw,13,4,0,,miranda-maverick
Nick,Maximov,,"6' 0""",185 lbs.,"76.0""",Southpaw,8,2,0,,nick-maximov
Elaina,Maxwell,Beef,"5' 8""",145 lbs.,--,Orthodox,7,4,0,,elaina-maxwell
Jeremy,May,,"6' 1""",185 lbs.,--,,13,10,0,,jeremy-may
Jack,May,The Outlaw,"6' 8""",255 lbs.,--,Switch,9,3,0,,jack-may
Don'Tale,Mayes,Lord Kong,"6' 6""",260 lbs.,"81.0""",Orthodox,9,5,0,,don'tale-mayes
Gray,Maynard,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,7,1,,gray-maynard
Brooke,Mayo,The Bully,"5' 7""",125 lbs.,--,,0,1,0,,brooke-mayo
Gina,Mazany,Danger,"5' 6""",125 lbs.,"68.0""",Southpaw,7,6,0,,gina-mazany
Sabina,Mazo,Colombian Queen,"5' 7""",125 lbs.,"70.0""",Orthodox,9,4,0,,sabina-mazo
Scott,McAfee,,"5' 8""",155 lbs.,--,Orthodox,14,7,0,,scott-mcafee
Bobby,McAndrews,,--,--,--,Orthodox,1,3,0,,bobby-mcandrews
Michael,McBride,,"6' 1""",155 lbs.,--,Orthodox,8,3,0,,michael-mcbride
Ian,McCall,Uncle Creepy,"5' 5""",125 lbs.,"64.0""",Orthodox,13,5,1,,ian-mccall
Molly,McCann,Meatball,"5' 4""",125 lbs.,"62.0""",Orthodox,13,5,0,,molly-mccann
Charles,McCarthy,Chainsaw,"5' 10""",185 lbs.,"71.0""",Orthodox,10,5,0,,charles-mccarthy
Sean,McCorkle,,"6' 7""",265 lbs.,"81.0""",Orthodox,17,7,0,,sean-mccorkle
Kris,McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,8,5,0,,kris-mccray
Tamdan,McCrory,The Barncat,"6' 4""",185 lbs.,"76.0""",Switch,14,5,0,,tamdan-mccrory
Rob,McCullough,Razor,"5' 9""",155 lbs.,"69.0""",Orthodox,19,8,0,,rob-mccullough
Justin,McCully,The Insane One,"6' 1""",225 lbs.,"73.0""",Orthodox,11,5,2,,justin-mccully
Robert,McDaniel,Bubba,"6' 3""",185 lbs.,"75.0""",Southpaw,28,10,0,,robert-mcdaniel
Michael,McDonald,The Black Sniper,"5' 11""",205 lbs.,--,Orthodox,1,1,0,,michael-mcdonald
Scott,McDonald,,--,--,--,,1,0,0,,scott-mcdonald
Michael,McDonald,Mayday,"5' 9""",135 lbs.,"70.0""",Orthodox,17,4,0,,michael-mcdonald
Josh,McDonald,,--,185 lbs.,--,,9,5,0,,josh-mcdonald
Miles,McDonald,,"5' 7""",115 lbs.,--,,2,1,0,,miles-mcdonald
Justin,McElfresh,,"6' 6""",205 lbs.,--,Orthodox,6,4,0,,justin-mcelfresh
Drew,McFedries,The Massacre,"6' 0""",185 lbs.,"72.0""",Southpaw,12,7,0,,drew-mcfedries
Liam,McGeary,,"6' 6""",205 lbs.,--,,12,2,0,,liam-mcgeary
Gan,McGee,The Giant,"6' 10""",265 lbs.,--,Orthodox,13,5,0,,gan-mcgee
Court,McGee,The Crusher,"5' 11""",170 lbs.,"75.0""",Orthodox,22,11,0,,court-mcgee
Ryan,McGillivray,The Kid,"5' 11""",170 lbs.,--,,12,0,1,,ryan-mcgillivray
Ryan,McGivern,,"6' 0""",185 lbs.,--,Orthodox,13,7,0,,ryan-mcgivern
Jack,McGlaughlin,,--,--,--,Orthodox,1,4,0,,jack-mcglaughlin
Conor,McGregor,The Notorious,"5' 9""",155 lbs.,"74.0""",Southpaw,22,6,0,,conor-mcgregor
Greg,McIntyre,,"5' 10""",155 lbs.,--,Orthodox,6,4,0,,greg-mcintyre
Antonio,McKee,Mandingo,"5' 8""",155 lbs.,--,Southpaw,29,6,2,,antonio-mckee
AJ,McKee,Mercenary,"5' 10""",145 lbs.,--,,8,0,0,,aj-mckee
Rhys,McKee,Skeletor,"6' 2""",170 lbs.,"78.0""",Orthodox,10,4,1,,rhys-mckee
Cory,McKenna,Poppins,"5' 3""",115 lbs.,"58.0""",Orthodox,8,2,0,,cory-mckenna
Tim,McKenzie,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,9,0,,tim-mckenzie
Cody,McKenzie,,"6' 0""",155 lbs.,"72.0""",Switch,16,10,0,,cody-mckenzie
Terrance,McKinney,T. Wrecks,"5' 10""",155 lbs.,"73.0""",Switch,13,5,0,,terrance-mckinney
Brian,McLaughlin,,"5' 9""",155 lbs.,--,,6,2,0,,brian-mclaughlin
Jason,McLean,,"5' 5""",145 lbs.,--,,6,7,0,,jason-mclean
Garreth,McLellan,Soldier Boy,"6' 1""",185 lbs.,"72.0""",Southpaw,13,6,0,,garreth-mclellan
Sara,McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,6,0,,sara-mcmann
James,McSweeney,The Hammer,"6' 4""",230 lbs.,"77.0""",Switch,15,15,0,,james-mcsweeney
Charles,McTorry,,--,--,--,,3,0,0,,charles-mctorry
Daniel,McWilliams,The Animal,"6' 1""",185 lbs.,--,,15,37,0,,daniel-mcwilliams
Tim,Means,The Dirty Bird,"6' 2""",170 lbs.,"75.0""",Orthodox,32,14,1,,tim-means
Yancy,Medeiros,,"5' 10""",155 lbs.,"75.0""",Orthodox,15,8,0,,yancy-medeiros
Anistavio,Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,19,10,0,,anistavio-medeiros
Kaline,Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8,5,0,,kaline-medeiros
Uros,Medic,The Doctor,"6' 1""",155 lbs.,"71.0""",Southpaw,8,1,0,,uros-medic
Todd,Medina,El Tiburon,"5' 10""",193 lbs.,--,Southpaw,11,9,0,,todd-medina
Jason,Medina,,"5' 9""",180 lbs.,--,,21,15,1,,jason-medina
Emil,Meek,Valhalla,"5' 11""",170 lbs.,"74.0""",Switch,9,5,1,,emil-meek
Sanford Alton,Meeks,,"6' 5""",265 lbs.,"75.0""",Orthodox,1,1,0,,sanford alton-meeks
Gerald,Meerschaert,GM3,"6' 1""",185 lbs.,"77.0""",Southpaw,35,15,0,,gerald-meerschaert
Frank,Megallon,,"5' 10""",185 lbs.,--,Southpaw,2,3,0,,frank-megallon
Derrick,Mehmen,Caveman,"6' 4""",205 lbs.,--,,19,9,0,,derrick-mehmen
Miika,Mehmet,,--,205 lbs.,--,Orthodox,3,5,0,,miika-mehmet
Jordan,Mein,Young Gun,"6' 0""",170 lbs.,"73.0""",Orthodox,31,12,0,,jordan-mein
Bryce,Mejia,,"6' 1""",170 lbs.,--,,3,1,0,,bryce-mejia
Brian,Melancon,,"5' 8""",170 lbs.,--,Orthodox,7,3,0,,brian-melancon
Brandon,Melendez,The Murderer,"5' 11""",155 lbs.,--,Southpaw,25,25,0,,brandon-melendez
Gilbert,Melendez,El Nino,"5' 9""",145 lbs.,"73.0""",Orthodox,22,8,0,,gilbert-melendez
Nair,Melikyan,Ahalkalakski,"5' 6""",155 lbs.,--,,11,0,0,,nair-melikyan
Marcelo,Mello,,"5' 7""",170 lbs.,--,Southpaw,1,0,0,,marcelo-mello
Fabio,Mello,,"5' 5""",155 lbs.,--,Southpaw,11,8,0,,fabio-mello
Vanessa,Melo,,"5' 5""",135 lbs.,"65.0""",Orthodox,11,8,0,,vanessa-melo
Antonio,Mendes,Samurai,"6' 3""",205 lbs.,"77.0""",Southpaw,18,13,0,,antonio-mendes
Chad,Mendes,Money,"5' 6""",145 lbs.,"66.0""",Orthodox,18,5,0,,chad-mendes
Augusto,Mendes,Tanquinho,"5' 6""",135 lbs.,"65.0""",Orthodox,6,2,0,,augusto-mendes
Eddie,Mendez,,"5' 10""",185 lbs.,--,,8,3,1,,eddie-mendez
Mateus,Mendonca,Bocao,"5' 6""",135 lbs.,"71.0""",Orthodox,10,1,0,,mateus-mendonca
Luis,Mendoza,,--,155 lbs.,--,,0,1,0,,luis-mendoza
Pietro,Menga,,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,0,,pietro-menga
Alonzo,Menifield,Atomic,"6' 0""",205 lbs.,"76.0""",Orthodox,13,3,1,,alonzo-menifield
Ivan,Menjivar,The Pride of El Salvador,"5' 6""",145 lbs.,"64.0""",Orthodox,25,12,0,,ivan-menjivar
Dave,Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,45,17,2,,dave-menne
Steve,Mensing,The Machine,"5' 11""",185 lbs.,--,Orthodox,9,13,2,,steve-mensing
Buck,Meredith,,"6' 2""",185 lbs.,--,,3,3,0,,buck-meredith
Adam,Meredith,,"6' 2""",170 lbs.,--,,5,3,0,,adam-meredith
Joe,Merritt,,"6' 0""",170 lbs.,--,Orthodox,7,2,0,,joe-merritt
Jeremiah,Metcalf,,"6' 1""",185 lbs.,--,Orthodox,13,7,0,,jeremiah-metcalf
Jonathan,Meunier,District,"6' 3""",170 lbs.,--,Switch,8,1,0,,jonathan-meunier
Yaotzin,Meza,,"5' 9""",145 lbs.,"71.0""",Orthodox,21,11,0,,yaotzin-meza
Guy,Mezger,,"6' 1""",200 lbs.,--,Orthodox,30,14,2,,guy-mezger
Brandon,Michaels,,"5' 9""",185 lbs.,--,,4,14,0,,brandon-michaels
Andreas,Michailidis,The Spartan,"6' 0""",170 lbs.,"76.0""",Orthodox,13,6,0,,andreas-michailidis
David,Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,11,3,0,,david-michaud
Chris,Mickle,,"5' 9""",145 lbs.,--,Orthodox,30,21,2,,chris-mickle
Zachary,Micklewright,,"6' 0""",155 lbs.,"74.0""",Southpaw,15,3,0,,zachary-micklewright
Kristof,Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6,10,0,,kristof-midoux
Keith,Mielke,,"5' 8""",185 lbs.,--,,0,5,0,,keith-mielke
Chris,Mierzwiak,,"6' 1""",185 lbs.,--,,5,3,0,,chris-mierzwiak
Gabriel,Miglioli,Biel,"5' 8""",170 lbs.,--,,9,9,0,,gabriel-miglioli
Bojan,Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,0,,bojan-mihajlovic
Billy,Miles,The Kid,"5' 10""",170 lbs.,--,Orthodox,2,2,0,,billy-miles
Pat,Miletich,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,29,7,2,,pat-miletich
Curtis,Millender,Curtious,"6' 2""",170 lbs.,"76.0""",Orthodox,17,5,0,,curtis-millender
Phillip,Miller,,"5' 11""",185 lbs.,--,Orthodox,16,0,0,,phillip-miller
Jason,Miller,Mayhem,"6' 1""",185 lbs.,--,Orthodox,23,10,0,,jason-miller
Dan,Miller,,"6' 1""",185 lbs.,"74.0""",Orthodox,14,8,0,,dan-miller
Jim,Miller,A-10,"5' 8""",155 lbs.,"71.0""",Southpaw,35,17,0,,jim-miller
Cole,Miller,Magrinho,"6' 1""",145 lbs.,"73.0""",Orthodox,21,11,0,,cole-miller
Henry,Miller,Sentoryu,"5' 7""",270 lbs.,--,Southpaw,6,16,0,,henry-miller
Micah,Miller,Maverick,"6' 0""",145 lbs.,--,Orthodox,20,8,0,,micah-miller
Aaron,Miller,Blood Spiller,"5' 9""",145 lbs.,--,,14,10,0,,aaron-miller
Mo,Miller,Moshow,"5' 8""",135 lbs.,"72.0""",Orthodox,6,0,0,,mo-miller
Juliana,Miller,Killer,"5' 7""",125 lbs.,"66.0""",Orthodox,4,2,0,,juliana-miller
Eddy,Millis,,"6' 1""",185 lbs.,--,,0,2,0,,eddy-millis
Che,Mills,Beautiful,"6' 1""",170 lbs.,"76.0""",Orthodox,16,10,0,,che-mills
Adam,Milstead,The Prototype,"6' 3""",205 lbs.,"76.0""",Orthodox,8,4,0,,adam-milstead
Alberto,Mina,Soldier of God,"6' 0""",170 lbs.,"77.0""",Orthodox,13,1,0,,alberto-mina
Vitaly,Minakov,,"6' 2""",249 lbs.,--,,20,0,0,,vitaly-minakov
Darrick,Minner,,"5' 7""",145 lbs.,"69.0""",Orthodox,26,14,0,,darrick-minner
Mike,Minniger,,--,--,--,,0,0,0,,mike-minniger
Ikuhisa,Minowa,Minowaman,"5' 9""",181 lbs.,--,Orthodox,60,42,8,,ikuhisa-minowa
Carlton,Minus,Clutch,"5' 10""",170 lbs.,"75.0""",Orthodox,10,3,0,,carlton-minus
Stipe,Miocic,,"6' 4""",240 lbs.,"80.0""",Orthodox,20,4,0,,stipe-miocic
Frank,Mir,,"6' 3""",264 lbs.,"79.0""",Southpaw,18,11,0,,frank-mir
Juan,Miranda,,--,155 lbs.,--,,7,5,0,,juan-miranda
Mario,Miranda,,"6' 3""",185 lbs.,"74.0""",Orthodox,14,7,0,,mario-miranda
Vitor,Miranda,Lex Luthor,"6' 1""",185 lbs.,"77.0""",Orthodox,12,5,0,,vitor-miranda
Gabriel,Miranda,Fly,"5' 11""",155 lbs.,"71.0""",Orthodox,16,6,0,,gabriel-miranda
Damir,Mirenic,Wolf,"6' 0""",185 lbs.,--,Orthodox,9,4,0,,damir-mirenic
Kazuo,Misaki,Hitman,"5' 8""",183 lbs.,--,Orthodox,25,11,2,,kazuo-misaki
Toby,Misech,2 Quick,"5' 8""",145 lbs.,--,Southpaw,9,5,0,,toby-misech
Dokonjonosuke,Mishima,,"5' 7""",155 lbs.,--,Southpaw,21,7,2,,dokonjonosuke-mishima
Felix Lee,Mitchell,,--,--,--,Orthodox,2,7,0,,felix lee-mitchell
David,Mitchell,Daudi,"6' 0""",170 lbs.,"75.0""",Orthodox,22,7,0,,david-mitchell
Danny,Mitchell,The Cheesecake Assassin,"6' 2""",170 lbs.,--,Orthodox,19,9,1,,danny-mitchell
Brad,Mitchell,,"5' 11""",145 lbs.,--,,4,2,0,,brad-mitchell
Clay,Mitchell,,"6' 2""",185 lbs.,--,,1,2,0,,clay-mitchell
Bryce,Mitchell,Thug Nasty,"5' 10""",145 lbs.,"70.0""",Southpaw,15,2,0,,bryce-mitchell
Maurice,Mitchell,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,11,2,0,,maurice-mitchell
Roman,Mitichyan,,"5' 10""",170 lbs.,--,Orthodox,8,3,0,,roman-mitichyan
Matt,Mitrione,,"6' 3""",265 lbs.,"82.0""",Switch,12,5,0,,matt-mitrione
Eiji,Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,18,9,2,,eiji-mitsuoka
Hiromitsu,Miura,,"5' 9""",170 lbs.,"71.0""",Orthodox,12,7,0,,hiromitsu-miura
Jonathan,Mix,,"6' 0""",168 lbs.,--,,7,4,0,,jonathan-mix
Tomoya,Miyashita,,"5' 7""",139 lbs.,--,Southpaw,17,9,7,,tomoya-miyashita
Kazuyuki,Miyata,,"5' 8""",139 lbs.,--,Orthodox,15,9,0,,kazuyuki-miyata
Motoki,Miyazawa,,"5' 11""",168 lbs.,--,Southpaw,7,3,0,,motoki-miyazawa
Takeya,Mizugaki,,"5' 7""",135 lbs.,"69.0""",Orthodox,21,11,2,,takeya-mizugaki
Tatsuya,Mizuno,,"6' 1""",205 lbs.,--,Southpaw,16,12,1,,tatsuya-mizuno
Roxanne,Modafferi,The Happy Warrior,"5' 7""",125 lbs.,"69.0""",Orthodox,25,21,0,,roxanne-modafferi
Bobby,Moffett,The Wolfman,"5' 10""",145 lbs.,"73.0""",Orthodox,13,5,0,,bobby-moffett
Bronson,Mohika,,--,135 lbs.,--,,1,1,0,,bronson-mohika
Nate,Mohr,,"5' 9""",155 lbs.,"72.0""",Orthodox,9,7,0,,nate-mohr
Renato,Moicano,,"5' 11""",155 lbs.,"72.0""",Orthodox,17,5,1,,renato-moicano
Thiago,Moises,,"5' 9""",155 lbs.,"70.0""",Orthodox,17,6,0,,thiago-moises
Muhammad,Mokaev,The Punisher,"5' 7""",125 lbs.,"70.0""",Orthodox,10,0,0,,muhammad-mokaev
Ashkan,Mokhtarian,The Assassin,"5' 6""",125 lbs.,"67.0""",Southpaw,13,3,0,,ashkan-mokhtarian
Suman,Mokhtarian,,"5' 8""",145 lbs.,"72.0""",Orthodox,8,5,0,,suman-mokhtarian
Dan,Molina,,"5' 10""",216 lbs.,--,,13,9,0,,dan-molina
Jeff,Molina,El Jefe,"5' 6""",125 lbs.,"69.0""",Orthodox,11,2,0,,jeff-molina
Rudyard,Moncayo,,"5' 10""",195 lbs.,--,Orthodox,0,3,0,,rudyard-moncayo
Hidetaka,Monma,,"6' 0""",168 lbs.,--,Orthodox,18,11,4,,hidetaka-monma
Jeff,Monson,The Snowman,"5' 9""",247 lbs.,"74.0""",Orthodox,60,26,1,,jeff-monson
Darrell,Montague,Mongoose,"5' 6""",125 lbs.,"67.0""",Southpaw,13,5,0,,darrell-montague
Andrew,Montanez,,--,185 lbs.,--,,9,12,1,,andrew-montanez
Augusto,Montano,Dodger,"6' 1""",170 lbs.,"73.0""",Orthodox,15,3,0,,augusto-montano
Erick,Montano,Perry,"6' 0""",170 lbs.,"73.0""",Orthodox,7,5,0,,erick-montano
Nicco,Montano,,"5' 5""",135 lbs.,"65.0""",Southpaw,5,3,0,,nicco-montano
Alberto,Montes,The Promise,"5' 7""",135 lbs.,--,,4,0,0,,alberto-montes
Steve,Montgomery,The Creepy Weasel,"6' 4""",185 lbs.,--,Southpaw,9,5,0,,steve-montgomery
James,Moontasri,Moon Walker,"5' 10""",170 lbs.,"71.0""",Switch,9,5,0,,james-moontasri
Homer,Moore,The Rock,"5' 10""",205 lbs.,--,Orthodox,26,9,2,,homer-moore
Todd,Moore,,"5' 9""",170 lbs.,"71.0""",Southpaw,16,7,0,,todd-moore
Nate,Moore,,"6' 0""",170 lbs.,--,,8,4,0,,nate-moore
Dustin,Moore,,"5' 4""",125 lbs.,--,,0,2,0,,dustin-moore
Taylor,Moore,,"5' 10""",135 lbs.,"70.0""",Southpaw,10,5,0,,taylor-moore
Sergio,Moraes,The Panther,"6' 0""",170 lbs.,"72.0""",Orthodox,14,6,1,,sergio-moraes
Marlon,Moraes,Magic,"5' 6""",135 lbs.,"67.0""",Orthodox,23,10,1,,marlon-moraes
Sheymon,Moraes,,"5' 8""",145 lbs.,"72.0""",Orthodox,11,4,0,,sheymon-moraes
John,Moraga,,"5' 6""",125 lbs.,"66.0""",Orthodox,19,7,0,,john-moraga
Ricardo,Morais,The Mutant,"6' 8""",270 lbs.,--,Orthodox,10,4,1,,ricardo-morais
Leonardo,Morales,Chimy,"5' 8""",135 lbs.,--,Southpaw,6,2,0,,leonardo-morales
Albert,Morales,The Warrior,"5' 9""",135 lbs.,"72.0""",Orthodox,7,4,1,,albert-morales
Joseph,Morales,,"5' 6""",125 lbs.,"69.0""",Switch,9,2,0,,joseph-morales
Vince,Morales,Vandetta,"5' 9""",135 lbs.,"70.0""",Orthodox,11,7,0,,vince-morales
Omar,Morales,Venezuelan Fighter,"5' 11""",155 lbs.,"73.0""",Orthodox,11,4,0,,omar-morales
Michael,Morales,,"6' 0""",170 lbs.,"79.0""",Orthodox,14,0,0,,michael-morales
Sarah,Moras,Cheesecake,"5' 7""",135 lbs.,"67.0""",Orthodox,6,8,0,,sarah-moras
Christian,Morecraft,,"6' 6""",260 lbs.,"81.0""",Orthodox,8,3,0,,christian-morecraft
Joe,Moreira,,"5' 11""",195 lbs.,--,Southpaw,2,2,0,,joe-moreira
Richardson,Moreira,Rick Monstro,"6' 2""",185 lbs.,--,Orthodox,7,4,0,,richardson-moreira
Gisele,Moreira,,"5' 6""",135 lbs.,--,Orthodox,8,3,0,,gisele-moreira
Vinicius,Moreira,Mamute,"6' 4""",205 lbs.,"76.0""",Orthodox,9,5,0,,vinicius-moreira
Jesse,Moreng,Arturo,"5' 7""",145 lbs.,--,Orthodox,9,1,0,,jesse-moreng
Brandon,Moreno,The Assassin Baby,"5' 7""",125 lbs.,"70.0""",Orthodox,21,6,2,,brandon-moreno
Mike,Moreno,El Palo Duro,"6' 0""",185 lbs.,--,,6,5,0,,mike-moreno
Dan,Moret,The Hitman,"6' 0""",155 lbs.,"73.0""",Southpaw,13,6,0,,dan-moret
Sammy,Morgan,The Squeeze,"5' 10""",170 lbs.,--,Orthodox,18,12,0,,sammy-morgan
Peggy,Morgan,The Daywalker,"6' 1""",135 lbs.,--,,4,4,0,,peggy-morgan
Alexander,Morgan,The Chess Master,"5' 10""",145 lbs.,"71.0""",Orthodox,11,5,0,,alexander-morgan
Alex,Morono,The Great White,"5' 11""",170 lbs.,"72.0""",Orthodox,22,8,0,,alex-morono
Maryna,Moroz,Iron Lady,"5' 7""",125 lbs.,"67.0""",Orthodox,11,4,0,,maryna-moroz
Sergey,Morozov,,"5' 6""",135 lbs.,"67.0""",Orthodox,19,5,0,,sergey-morozov
Brad,Morris,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,,brad-morris
Scott,Morris,,"5' 10""",210 lbs.,--,Orthodox,2,1,0,,scott-morris
Anthony,Morrison,Cheesesteak,"5' 7""",145 lbs.,--,Orthodox,20,12,0,,anthony-morrison
Jack,Morrison,,"5' 11""",205 lbs.,--,,0,3,0,,jack-morrison
Harry,Moskowitz,Dirty,"6' 5""",275 lbs.,--,Orthodox,6,12,0,,harry-moskowitz
Carlos,Mota,Tizil,"5' 4""",125 lbs.,"69.0""",Orthodox,8,2,0,,carlos-mota
Juan,Mott,,"6' 0""",190 lbs.,--,Switch,3,4,0,,juan-mott
Nikolas,Motta,Iron,"5' 9""",155 lbs.,"70.0""",Orthodox,13,4,0,,nikolas-motta
Flavio Luiz,Moura,,"5' 11""",183 lbs.,--,Open Stance,19,7,0,,flavio luiz-moura
Gegard,Mousasi,,"6' 2""",185 lbs.,"76.0""",Orthodox,42,6,2,,gegard-mousasi
Kris,Moutinho,,"5' 7""",135 lbs.,"68.0""",Southpaw,9,6,0,,kris-moutinho
Kin,Moy,Kong,"5' 5""",135 lbs.,--,,8,3,0,,kin-moy
Jamie,Moyle,,"5' 1""",115 lbs.,"65.0""",Orthodox,4,3,0,,jamie-moyle
Askar,Mozharov,,"6' 3""",205 lbs.,"74.0""",Orthodox,19,13,0,,askar-mozharov
Garrett,Mueller,,"5' 9""",135 lbs.,--,,3,3,0,,garrett-mueller
Lauren,Mueller,Princess Tiger,"5' 5""",125 lbs.,"67.0""",Orthodox,5,3,0,,lauren-mueller
Belal,Muhammad,Remember the Name,"5' 11""",170 lbs.,"72.0""",Orthodox,22,3,0,,belal-muhammad
Fazlo,Mulabitinovic,,--,135 lbs.,--,,4,2,0,,fazlo-mulabitinovic
Quinn,Mulhern,,"6' 3""",155 lbs.,--,Orthodox,18,4,0,,quinn-mulhern
James,Mulheron,,"5' 10""",243 lbs.,"73.0""",Orthodox,11,2,0,,james-mulheron
Jamie,Mullarkey,,"6' 0""",155 lbs.,"74.0""",Orthodox,16,5,0,,jamie-mullarkey
Jim,Mullen,,"6' 1""",215 lbs.,--,Southpaw,0,2,0,,jim-mullen
Pedro,Munhoz,The Young Punisher,"5' 6""",135 lbs.,"65.0""",Orthodox,19,7,0,,pedro-munhoz
Andre,Muniz,Sergipano,"6' 1""",185 lbs.,"78.0""",Southpaw,23,5,0,,andre-muniz
Mark,Munoz,The Filipino Wrecking Machine,"6' 0""",185 lbs.,"71.0""",Orthodox,14,6,0,,mark-munoz
Alexander,Munoz,,"5' 9""",155 lbs.,"72.0""",Switch,6,2,0,,alexander-munoz
Johnny,Munoz,Kid Kvenbo,"5' 9""",135 lbs.,"71.0""",Orthodox,12,2,0,,johnny-munoz
Andy,Murad,The Tooth Fairy,"5' 9""",185 lbs.,--,,15,2,0,,andy-murad
Olivier,Murad,Warrior of God,"5' 10""",145 lbs.,"72.0""",Southpaw,6,0,0,,olivier-murad
Makhmud,Muradov,,"6' 2""",185 lbs.,"75.0""",Orthodox,25,8,0,,makhmud-muradov
Kazunari,Murakami,,"6' 1""",220 lbs.,--,Orthodox,5,5,0,,kazunari-murakami
Ryuichi,Murata,,"5' 8""",183 lbs.,--,Orthodox,8,3,1,,ryuichi-murata
Kanako,Murata,,"5' 1""",115 lbs.,"62.0""",Orthodox,12,2,0,,kanako-murata
Ailiya,Muratbek,,--,155 lbs.,--,,9,2,0,,ailiya-muratbek
Vince,Murdock,,"5' 6""",145 lbs.,"64.0""",Orthodox,12,4,0,,vince-murdock
Samandar,Murodov,,"6' 1""",170 lbs.,"75.0""",Orthodox,8,0,0,,samandar-murodov
Tom,Murphy,,"6' 2""",227 lbs.,--,Southpaw,8,0,0,,tom-murphy
Ian,Murphy,,"6' 1""",185 lbs.,--,Orthodox,1,1,0,,ian-murphy
Jon,Murphy,Man of Faith,"6' 3""",260 lbs.,--,Orthodox,6,4,0,,jon-murphy
Lauren,Murphy,Lucky,"5' 5""",125 lbs.,"67.0""",Orthodox,16,6,0,,lauren-murphy
Patrick,Murphy,,"6' 0""",170 lbs.,--,,5,3,0,,patrick-murphy
Lerone,Murphy,The Miracle,"5' 9""",145 lbs.,"73.0""",Orthodox,12,0,1,,lerone-murphy
Lee,Murray,Lightning,"6' 3""",185 lbs.,--,Orthodox,8,2,1,,lee-murray
Jesse,Murray,Hollywood,"6' 3""",205 lbs.,"78.0""",Orthodox,8,4,0,,jesse-murray
Khalid,Murtazaliev,,"6' 0""",185 lbs.,"76.0""",Orthodox,14,2,0,,khalid-murtazaliev
Azamat,Murzakanov,The Professional,"5' 10""",205 lbs.,"71.0""",Southpaw,12,0,0,,azamat-murzakanov
Nicholas,Musoke,Nico,"6' 0""",170 lbs.,"75.0""",Orthodox,13,5,0,,nicholas-musoke
Andre,Mussi,,"6' 3""",242 lbs.,--,Orthodox,11,5,0,,andre-mussi
Magomed,Mustafaev,The Sniper,"5' 8""",155 lbs.,"71.0""",Orthodox,14,4,0,,magomed-mustafaev
Max,Mustaki,,"6' 0""",155 lbs.,--,Orthodox,6,3,0,,max-mustaki
Elvis,Mutapcic,The King,"6' 0""",185 lbs.,"72.0""",Orthodox,15,6,1,,elvis-mutapcic
