strikes_acc(%),tkd_acc(%),kd_avg,avg_fgt_t,standing_str(%),clinch_str(%),ground_str(%),head_str(%),body_str(%),leg_str(%),ko/tko(%),dec(%),encoded_target
0.4074749316317229,0.14285714285714285,0.46,0.41560428352881185,0.81,0.13,0.06,0.54,0.33,0.14,0.46,0.38,3
0.4352078239608802,0.21739130434782608,0.0,0.7450280469148395,0.79,0.07,0.15,0.63,0.19,0.19,0.33,0.5,7
0.5757575757575758,0.0,0.0,0.453850076491586,0.89,0.11,0.0,0.45,0.16,0.39,0.0,0.0,7
0.5657120439387995,0.23880597014925373,0.4,0.8612952575216729,0.75,0.09,0.15,0.63,0.11,0.26,0.5,0.38,7
0.572644721906924,0.5,0.22,0.6195818459969404,0.8,0.14,0.05,0.6,0.23,0.17,0.67,0.25,0
0.473972602739726,0.1935483870967742,0.3,0.5415604283528813,0.72,0.13,0.16,0.49,0.27,0.24,0.38,0.25,7
0.4,0.0,0.0,0.3926568077511474,0.5,0.38,0.13,0.13,0.13,0.75,0.0,0.0,7
0.25,0.0,0.0,0.20907700152983175,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7
0.6,0.0,0.0,0.09229984701682815,0.5,0.5,0.0,0.17,0.5,0.33,0.0,0.0,7
0.48347497639282344,0.1111111111111111,0.37,0.4910759816420194,0.81,0.12,0.07,0.63,0.22,0.16,0.32,0.28,3
0.5077319587628866,0.38235294117647056,0.0,0.3605303416624172,0.22,0.1,0.68,0.78,0.13,0.09,0.38,0.06,6
0.5104813664596274,0.5294117647058824,0.24,0.5624681285058645,0.85,0.09,0.06,0.65,0.23,0.12,0.2,0.45,1
0.54,0.4117647058823529,0.0,0.4421213666496686,0.65,0.24,0.11,0.58,0.21,0.21,0.67,0.17,7
0.4634146341463415,0.25,0.28,0.6522182559918409,0.76,0.08,0.16,0.63,0.22,0.15,0.62,0.05,5
0.3136094674556213,0.509090909090909,0.38,0.5624681285058645,0.75,0.14,0.1,0.83,0.12,0.05,0.4,0.2,7
0.4927685950413223,0.20689655172413793,0.0,0.6430392656807752,0.7,0.18,0.12,0.5,0.18,0.32,0.1,0.52,4
0.2777777777777778,0.0,0.0,0.7450280469148395,0.78,0.05,0.18,0.3,0.2,0.5,0.6,0.0,7
0.42209072978303747,0.0,0.0,0.3977562468128506,0.27,0.29,0.44,0.81,0.07,0.12,0.0,0.0,7
0.4262767710049423,0.0,0.38,0.5614482406935237,0.87,0.08,0.05,0.8,0.13,0.07,0.29,0.43,2
0.5113821138211382,0.3023255813953488,0.43,0.4563997960224376,0.59,0.23,0.18,0.57,0.25,0.18,0.55,0.23,4
0.5964467005076142,0.0,0.67,0.5481896991330955,0.81,0.18,0.01,0.47,0.36,0.17,0.86,0.14,2
0.48134991119005327,0.28,0.78,0.25956144824069355,0.67,0.16,0.17,0.62,0.13,0.25,0.21,0.5,1
0.4831730769230769,0.0,0.0,0.3100458949515554,0.31,0.2,0.49,0.57,0.33,0.09,0.0,0.0,7
0.25268817204301075,0.0,0.0,0.366649668536461,0.87,0.09,0.04,0.4,0.45,0.15,0.0,0.0,7
0.37373737373737376,0.0,0.0,0.7450280469148395,0.7,0.3,0.0,0.59,0.22,0.19,1.0,0.0,7
0.42007797270955166,0.2,0.52,0.5553289138194799,0.67,0.27,0.06,0.61,0.32,0.06,0.38,0.23,7
0.4262295081967213,0.0,0.0,0.19122896481387047,0.62,0.15,0.23,0.88,0.08,0.04,1.0,0.0,7
0.42441860465116277,0.0,0.0,0.7450280469148395,0.86,0.12,0.01,0.55,0.14,0.32,0.13,0.38,7
