fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,fighting_style
Mark Madsen,"5' 8""",155 lbs.,"72""",Orthodox,23-Sep-84,2.28,42%,2.53,46%,8.33,64%,0%,0,
Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,12-Feb-80,2.46,41%,1.18,81%,1.32,71%,70%,0,
Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,31-Oct-81,2.36,33%,2.55,63%,2.93,51%,50%,0.7,
Vinicius Magalhaes,,145 lbs.,,,30-Jul-71,0,0%,0,0%,0,0%,0%,0,
Vinny Magalhaes,"6' 3""",205 lbs.,"75""",Orthodox,02-Jul-84,2.14,24%,3.97,68%,1.55,44%,66%,0.8,
Bernardo Magalhaes,"5' 9""",155 lbs.,,Orthodox,08-Apr-81,1.8,27%,3.37,68%,0,0%,0%,0.5,
Eric Magana,,,,,,0,0%,0,0%,0,0%,0%,0,
Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,14-Dec-87,2.27,40%,2.78,56%,1.05,15%,58%,1.6,
Brandon Magana,,170 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Reza Madadi,"5' 11""",155 lbs.,"73""",Orthodox,20-Jun-78,2.51,46%,3.31,66%,3.17,33%,89%,0.5,
Angela Magana,"5' 1""",115 lbs.,"65""",Orthodox,02-Aug-83,1.53,28%,4.92,42%,0.4,25%,28%,0.4,
Neil Magny,"6' 3""",170 lbs.,"80""",Orthodox,03-Aug-87,3.67,47%,2.05,56%,2.46,45%,57%,0.3,
Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,29-Nov-84,4.4,49%,3.05,54%,0.67,57%,89%,0.2,
Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,26-Nov-86,4.02,47%,1.47,66%,0.33,100%,88%,0,
Ibragim Magomedov,"6' 0""",250 lbs.,,Orthodox,,0.26,4%,3.86,42%,0,0%,0%,0,
John Maguire,"5' 9""",155 lbs.,"69""",Southpaw,19-May-83,1.41,41%,2.44,65%,2.8,46%,77%,1.1,
Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,01-Mar-91,4.89,48%,3,64%,5.22,56%,77%,0.8,
Lolohea Mahe,,,,,,1.71,29%,6.92,40%,2.44,40%,0%,0,
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,25-Apr-89,4.55,48%,4.38,43%,2.12,83%,69%,0.4,
Michelle Maher,,145 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Bill Mahood,"6' 3""",200 lbs.,,Orthodox,01-Feb-67,1.54,85%,3.59,17%,0,0%,0%,3.9,
Levan Makashvili,"5' 8""",145 lbs.,"68""",Orthodox,07-Jan-89,2.87,54%,2.07,61%,3.67,42%,85%,0,
Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,06-Oct-88,3.34,39%,3.52,52%,0.34,50%,56%,0.2,
Klayton Mai,"5' 9""",125 lbs.,,,30-Nov-86,1.53,42%,1.02,63%,3.83,100%,0%,7.7,
John Makdessi,"5' 8""",155 lbs.,"68""",Orthodox,03-May-85,5.36,51%,3.76,70%,0,0%,88%,0,
Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,06-Nov-77,1.82,43%,2.03,63%,2.55,26%,61%,1,
Aliev Makhmud,"5' 6""",195 lbs.,,Southpaw,13-Feb-70,1.12,30%,2.24,36%,2.1,50%,0%,0,
Islam Makhachev,"5' 10""",155 lbs.,"70""",Southpaw,27-Oct-91,2,56%,0.77,70%,3.46,68%,93%,1,
Marvin Maldonado,"5' 6""",135 lbs.,,,,0.87,56%,3.47,43%,0,0%,20%,0,
Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,19-Apr-83,1.94,43%,2.24,62%,3.71,30%,56%,0.3,
Jeremy Malaterre,"5' 11""",155 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,17-Mar-80,5.29,58%,4.31,53%,0.44,57%,61%,0.6,
Nazareno Malegarie,"5' 8""",155 lbs.,,,16-May-86,3.87,34%,3.27,69%,1,33%,0%,0,
Carl Malenko,"5' 11""",200 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,23-Aug-91,6.78,46%,6.14,62%,0,0%,78%,1.4,
Jacob Malkoun,"5' 9""",185 lbs.,"73""",Orthodox,26-Aug-95,0,0%,23.33,36%,0,0%,0%,0,
Nate Maness,"5' 10""",135 lbs.,"72""",Orthodox,27-Jun-91,2.4,45%,4.63,45%,1.33,66%,88%,0.7,
Michael Mangan,,155 lbs.,,,,1.94,33%,4.52,46%,19.35,50%,100%,0,
Mike Malott,"6' 0""",145 lbs.,,,,4.53,36%,4.53,51%,2,33%,0%,0,
Troy Mandaloniz,"5' 9""",170 lbs.,,Orthodox,01-Feb-80,3.52,56%,4.71,63%,3.1,66%,57%,0,
Jon Manley,"6' 1""",170 lbs.,,Orthodox,07-Jul-86,1.13,20%,4.33,45%,1,7%,20%,0,
Melchor Manibusan,"5' 5""",154 lbs.,,Southpaw,27-Dec-76,1.58,54%,5.79,15%,0,0%,0%,0,
Gary Mangat,"5' 7""",135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Melvin Manhoef,"5' 9""",185 lbs.,,Orthodox,11-May-76,3.52,48%,2.64,51%,0.33,25%,78%,0,
Chris Manuel,"5' 9""",135 lbs.,,Orthodox,21-Jul-87,2.53,40%,2.67,66%,1,20%,100%,0,
Steve Mann,"6' 1""",170 lbs.,,,,3.18,70%,0.66,57%,1.64,100%,60%,0,
Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,03-Dec-77,2.56,33%,3.61,58%,0.44,11%,20%,0.9,
Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,18-Feb-80,3.43,54%,3.97,49%,0.53,18%,70%,0.4,
Jose Maria,"5' 5""",125 lbs.,,Orthodox,04-Jan-82,3.2,53%,3.98,52%,2.32,27%,33%,2.3,
Enrique Marin,"5' 10""",170 lbs.,,,02-Sep-86,1.43,33%,3,50%,2.5,38%,60%,1,
Marcos Mariano,"6' 1""",155 lbs.,"76""",Switch,12-Oct-86,0.25,27%,2.11,43%,0,0%,28%,0,
Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,21-Apr-88,2.17,53%,2.43,45%,3.13,40%,100%,0.5,
Rory Markham,"6' 0""",170 lbs.,"71""",Orthodox,25-Mar-82,1.98,21%,10.27,45%,0,0%,0%,0,
Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,08-Nov-85,5,58%,3,64%,7.5,100%,0%,0,
Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,10-Aug-85,2.85,41%,3.2,59%,1.23,28%,57%,0.2,
Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,20-Apr-79,2.71,49%,2.32,55%,1.87,51%,70%,0.8,
Danilo Marques,"6' 6""",205 lbs.,"77""",Orthodox,26-Dec-85,1.81,88%,1.41,50%,4.83,34%,0%,1.2,
Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,26-Jan-81,0.84,34%,2.04,54%,3.21,36%,36%,0.9,
Julian Marquez,"6' 2""",185 lbs.,"72""",Orthodox,08-May-90,3.5,40%,2.98,52%,0,0%,53%,3.4,
Cesar Marscucci,,,,,,0,0%,0,0%,0,0%,0%,0,
CJ Marsh,,,,,,0,0%,0,0%,0,0%,0%,0,
John Marsh,"6' 0""",265 lbs.,,Orthodox,15-Sep-70,0.83,42%,2.23,40%,0.43,100%,54%,0.4,
Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,07-Jul-80,1.93,27%,2.39,67%,0.47,33%,79%,0.9,
David Marshall,"6' 2""",170 lbs.,,,24-Aug-84,0,0%,0,0%,0,0%,0%,0,
Jack Marshman,"6' 0""",185 lbs.,"73""",Orthodox,19-Dec-89,2.74,25%,4.19,56%,0,0%,20%,0,
Doug Marshall,"5' 10""",205 lbs.,,Orthodox,09-Sep-75,6.99,46%,4.02,60%,0,0%,66%,2.4,
Terry Martin,"5' 8""",185 lbs.,"71""",Orthodox,10-Oct-80,2.82,43%,3.13,54%,3.1,42%,92%,0,
Eric Martin,,,,,,0,0%,0,0%,0,0%,0%,0,
Dave Martin,"6' 0""",205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Justin Martin,"6' 0""",185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Joe Martin,"5' 9""",170 lbs.,,,,0.73,40%,2.4,45%,0,0%,16%,0,
Michal Martinek,"6' 2""",230 lbs.,,Southpaw,19-Apr-90,2.45,53%,4.29,51%,0,0%,0%,0,
Mallory Martin,"5' 4""",115 lbs.,"63""",Orthodox,29-Jan-94,3.99,59%,5.53,58%,3.37,63%,25%,0.5,
Rainy Martinez,"6' 0""",199 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,11-Dec-89,2.68,37%,2.59,58%,0.71,27%,68%,1,
Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,14-Jun-85,2.73,28%,3.77,63%,3,45%,36%,0,
Henry Martinez,"5' 7""",155 lbs.,"69""",Southpaw,07-Aug-83,2.79,25%,4.01,60%,0,0%,80%,0,
Alonzo Martinez,"5' 10""",155 lbs.,,,22-Apr-84,3.07,27%,7.33,52%,0,0%,0%,0,
Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,20-Apr-94,4.27,46%,3.81,58%,0.48,37%,63%,0,
Andrew Martinez,"5' 9""",215 lbs.,,,,3.4,31%,2.3,47%,1.5,50%,0%,0,
Victor Martinez,"5' 10""",155 lbs.,,,17-Jul-91,0,0%,0,0%,0,0%,0%,0,
Roque Martinez,"5' 10""",250 lbs.,"72""",Orthodox,04-Mar-86,2.67,51%,4.68,59%,0.62,50%,16%,0,
Mana Martinez,"5' 10""",135 lbs.,"70""",Orthodox,25-Mar-96,2.11,62%,1.27,50%,0,0%,0%,6.3,
Poppies Martinez,"5' 9""",145 lbs.,,,19-Aug-83,2.88,50%,2.16,51%,1.54,33%,50%,9.2,
Wagner da Conceicao Martins,"6' 7""",390 lbs.,,Orthodox,19-May-78,1.91,37%,5.43,42%,2.2,100%,100%,0,
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,16-Dec-82,1.8,38%,2.14,65%,0.83,80%,81%,0.4,
Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,11-Nov-88,2.87,35%,4.14,60%,0,0%,76%,0.5,
Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,12-Sep-84,1.91,54%,2.62,55%,0.67,15%,50%,0.7,
Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,01-Nov-82,2.08,45%,3.59,54%,2.74,24%,50%,1.4,
Shoji Maruyama,"5' 7""",139 lbs.,,Orthodox,24-Apr-83,1.4,63%,0.27,55%,0,0%,54%,0,
Max Martyniouk,,155 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Bristol Marunde,"6' 1""",170 lbs.,"75""",Orthodox,20-Apr-82,1.42,21%,4.4,47%,1.6,33%,14%,0,
Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,12-Nov-84,4.2,47%,3,65%,1.57,59%,77%,0.4,
Tiffany Masters,"5' 3""",115 lbs.,"65""",Orthodox,31-Jul-94,3.53,62%,2.58,50%,3.06,60%,0%,0,
Tateki Matsuda,"5' 7""",125 lbs.,,Orthodox,27-Feb-86,3.2,34%,3.43,69%,0,0%,16%,0,
Naoki Matsushita,"5' 6""",155 lbs.,,Orthodox,,3.3,32%,2.2,63%,1.5,100%,0%,0,
AJ Matthews,"5' 11""",185 lbs.,,,,5.11,52%,4.96,51%,0,0%,100%,0,
Koichiro Matsumoto,"5' 7""",145 lbs.,,,07-Mar-86,1.9,26%,3.5,31%,0,0%,0%,0,
Daijiro Matsui,"5' 9""",200 lbs.,,Orthodox,05-Dec-72,0.84,45%,1.69,55%,1.83,30%,43%,0.4,
Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,19-Aug-94,3.03,44%,2.16,61%,1.93,41%,66%,0.6,
Claudio Mattos,,185 lbs.,,Orthodox,,0,0%,3.53,0%,0,0%,0%,0,
Francesco Maturi,,,,,,0,0%,0,0%,0,0%,0%,0,
John Matua,"6' 2""",400 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Miranda Maverick,"5' 3""",125 lbs.,"65""",Southpaw,01-Jul-97,9.8,51%,6,62%,0,0%,0%,0,
Nick Maximov,"6' 0""",220 lbs.,"76""",Southpaw,23-Dec-97,2.47,58%,0.33,58%,2,40%,0%,0,
Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,04-Jan-71,1.9,44%,1.62,59%,3.25,46%,70%,0.1,
Elaina Maxwell,"5' 8""",145 lbs.,,Orthodox,16-Dec-78,2.07,60%,2.4,53%,0,0%,50%,1,
Jeremy May,"6' 1""",185 lbs.,,,23-Oct-86,0,0%,0,0%,0,0%,0%,0,
Al Matavao,"5' 8""",205 lbs.,"67""",Orthodox,23-Feb-94,7.84,46%,6.7,58%,0,0%,0%,0,
Jack May,"6' 8""",255 lbs.,,Switch,14-Apr-81,1.52,38%,3.29,33%,0.91,33%,20%,0,
Don'Tale Mayes,"6' 6""",260 lbs.,"81""",Orthodox,16-Jan-92,4.13,45%,4.46,43%,0.23,20%,59%,0,
Brooke Mayo,"5' 7""",125 lbs.,,,,1.92,34%,3.2,63%,3.2,60%,0%,2.1,
Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,19-Aug-88,3.45,47%,3.07,51%,4.41,63%,33%,0.3,
Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,09-May-79,1.92,32%,2.64,66%,2.91,47%,81%,0.7,
Scott McAfee,"5' 8""",155 lbs.,,Orthodox,23-Aug-83,0,0%,1.33,50%,0,0%,0%,0,
Sabina Mazo,"5' 7""",135 lbs.,"70""",Orthodox,25-Mar-97,6.56,44%,3.91,60%,0.81,80%,66%,0.2,
Michael McBride,"6' 1""",155 lbs.,,Orthodox,09-Mar-86,4.08,48%,5.85,40%,1.85,42%,30%,1.2,
Bobby McAndrews,,,,Orthodox,,2.56,83%,1.03,50%,0,0%,33%,7.7,
Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,07-May-84,3.59,39%,3.25,67%,2.08,30%,88%,0,
Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,04-May-90,5.15,50%,4.28,65%,1.64,29%,28%,0.7,
Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,06-Aug-80,0.18,12%,4.03,56%,2.67,60%,0%,2.7,
Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,17-Jul-76,0.85,44%,2.48,52%,2.12,40%,33%,4.2,
Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,24-Sep-81,2.69,45%,2.57,54%,2.88,55%,38%,0,
Tamdan McCrory,"6' 4""",185 lbs.,"76""",Switch,05-Nov-86,2.07,49%,1.6,46%,2.28,50%,33%,2.5,
Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,18-Feb-76,1.58,37%,2.02,46%,1.28,44%,43%,0,
Michael McDonald,"5' 9""",135 lbs.,"70""",Orthodox,15-Jan-91,2.69,42%,2.76,57%,1.09,66%,52%,1.4,
Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,26-May-77,2.47,36%,2.84,59%,0.46,100%,68%,0,
Robert McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,03-May-83,1.64,44%,1.98,56%,0.93,50%,50%,1.4,
Scott McDonald,,,,,,0,0%,0,0%,0,0%,0%,0,
Josh McDonald,,185 lbs.,,,,0.8,57%,3.4,33%,9,50%,0%,0,
Miles McDonald,"5' 7""",115 lbs.,,,13-Aug-91,5.1,45%,4,43%,0,0%,100%,1,
Justin McElfresh,"6' 6""",205 lbs.,,Orthodox,04-Jan-80,4.59,26%,12.79,41%,0,0%,0%,0,
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,27-Jul-78,5.13,51%,4.56,52%,1.42,100%,56%,0.7,
Liam McGeary,"6' 6""",205 lbs.,,,04-Oct-82,1.28,48%,1.92,50%,0.51,100%,0%,2.5,
Gan McGee,"6' 10""",265 lbs.,,Orthodox,20-Nov-76,2.2,29%,2.31,59%,0.65,25%,83%,0,
Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,12-Dec-84,4.9,36%,3.94,61%,1.6,21%,63%,0.4,
Ryan McGillivray,"5' 11""",170 lbs.,,,27-Sep-86,1.27,20%,2.2,52%,0,0%,44%,0,
Ryan McGivern,"6' 0""",185 lbs.,,Orthodox,17-Jan-80,2.22,29%,2.22,57%,0,0%,0%,0,
Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,14-Jul-88,5.32,49%,4.54,54%,0.7,55%,67%,0,
Jack McGlaughlin,,,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,21-Apr-80,0.79,30%,1.36,41%,5.09,50%,0%,0,
AJ McKee,"5' 10""",145 lbs.,,,,2.75,32%,0.92,80%,11.01,100%,100%,11,
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,12-Mar-70,1.37,45%,0.74,74%,1.47,33%,57%,0,
Rhys McKee,"6' 2""",170 lbs.,"78""",Orthodox,10-Sep-95,6.83,53%,11.9,43%,0,0%,20%,0,
Tim McKenzie,"6' 0""",185 lbs.,"74""",Orthodox,21-Jul-82,1.37,54%,2.96,44%,0,0%,28%,2.1,
Terrance McKinney,"5' 11""",145 lbs.,"74""",Switch,15-Sep-94,1.17,50%,0.59,66%,4.4,33%,0%,0,
Cory McKenna,"5' 3""",115 lbs.,"58""",Orthodox,07-Nov-99,3.47,44%,3.03,45%,0.5,50%,71%,0,
Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,16-Dec-87,1.74,34%,2.5,67%,2.5,25%,14%,2.5,
Jason McLean,"5' 5""",145 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Brian McLaughlin,"5' 9""",155 lbs.,,,12-May-84,0,0%,0,0%,0,0%,0%,0,
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,01-Sep-82,3.56,54%,2.94,45%,1.15,22%,34%,0.9,
Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,24-Sep-80,2.32,45%,1.94,48%,4.41,65%,50%,0.5,
Charles McTorry,,,,,,0,0%,0,0%,0,0%,0%,0,
Daniel McWilliams,"6' 1""",185 lbs.,,,,3.36,77%,0,0%,0,0%,100%,21.6,
James McSweeney,"6' 4""",230 lbs.,"77""",Switch,24-Oct-80,3.94,55%,4.33,42%,0.52,33%,100%,1.1,
Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,20-Feb-84,5.16,48%,3.58,61%,0.92,41%,64%,0.2,
Kaline Medeiros,"5' 3""",115 lbs.,,,,2.06,70%,0.29,83%,4.41,100%,0%,4.4,
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,01-May-88,3.64,44%,5,47%,0,0%,0%,0,
Yancy Medeiros,"5' 10""",155 lbs.,"75""",Orthodox,07-Sep-87,4.05,35%,5.38,46%,0.12,25%,76%,0.5,
Uros Medic,"6' 1""",155 lbs.,"71""",Southpaw,25-Apr-93,19.91,77%,0.52,86%,0,0%,100%,0,
Jason Medina,"5' 9""",180 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Todd Medina,"5' 10""",193 lbs.,,Southpaw,,0,0%,0,0%,0,0%,0%,0,
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,20-Aug-88,2.52,39%,2.53,38%,0.25,33%,47%,1,
Sanford Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,05-Apr-94,0.71,42%,4.47,38%,7.06,25%,0%,0,
Frank Megallon,"5' 10""",185 lbs.,,Southpaw,,1.14,21%,5.32,54%,0,0%,0%,0,
Bryce Mejia,"6' 1""",170 lbs.,,,,3.49,62%,6.98,50%,0,0%,0%,0,
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,18-Dec-87,3.3,42%,3.61,51%,2.33,43%,46%,1.7,
Derrick Mehmen,"6' 4""",205 lbs.,,,30-May-85,1.93,14%,4.53,48%,1,16%,0%,0,
Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,10-Oct-89,3.35,44%,2.55,69%,1.56,58%,66%,0.2,
Miika Mehmet,,205 lbs.,,Orthodox,,0.33,12%,7.29,24%,0,0%,0%,0,
Brian Melancon,"5' 8""",170 lbs.,,Orthodox,28-May-82,4.18,49%,3.64,64%,2.02,100%,66%,0,
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,24-Mar-83,0.84,26%,0.56,63%,0,0%,25%,0,
Fabio Mello,"5' 5""",155 lbs.,,Southpaw,,0.86,35%,3.94,50%,0,0%,0%,0,
Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,12-Apr-82,3.44,33%,2.53,63%,1.64,41%,71%,0.2,
Vanessa Melo,"5' 5""",135 lbs.,"65""",Orthodox,27-Mar-88,3.48,30%,6.13,59%,0,0%,71%,0,
Marcelo Mello,"5' 7""",170 lbs.,,Southpaw,,0,0%,0,0%,0,0%,0%,0,
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,19-Apr-81,1.34,47%,6.85,22%,2.51,50%,100%,0,
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,03-Mar-83,2.42,34%,3.91,56%,1.75,33%,80%,0,
Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,01-May-85,2.78,49%,2.35,67%,4.13,55%,100%,0.3,
Eddie Mendez,"5' 10""",185 lbs.,,,16-Jan-84,1.71,33%,3.43,11%,0,0%,0%,0,
Luis Mendoza,,155 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Pietro Menga,"5' 7""",125 lbs.,"68""",Southpaw,15-Feb-88,0,0%,0,0%,0,0%,0%,0,
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,18-Oct-87,3.34,47%,3.72,45%,0,0%,85%,0,
Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,30-May-82,2.78,37%,2.76,65%,0.56,28%,38%,1,
Steve Mensing,"5' 11""",185 lbs.,,Orthodox,06-Dec-77,0,0%,9.51,42%,0,0%,0%,0,
Dave Menne,"5' 10""",170 lbs.,,Orthodox,29-Jul-74,1.84,44%,1.99,42%,0.46,50%,57%,2.5,
Adam Meredith,"6' 2""",170 lbs.,,,,2.63,50%,2.11,55%,7.89,100%,100%,7.9,
Buck Meredith,"6' 2""",185 lbs.,,,17-May-82,0,0%,0,0%,0,0%,0%,0,
Joe Merritt,"6' 0""",170 lbs.,,Orthodox,07-Mar-84,1.53,58%,0.73,66%,0,0%,68%,0,
Jonathan Meunier,"6' 3""",170 lbs.,,Switch,04-Aug-87,3.47,50%,1.43,69%,0.58,33%,58%,0,
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,,1.74,59%,0.27,60%,4.02,66%,100%,2,
Brandon Michaels,"5' 9""",185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Yaotzin Meza,"5' 9""",145 lbs.,"71""",Orthodox,04-Feb-81,1.43,41%,1.62,64%,1.06,20%,18%,1.4,
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,01-Jan-68,2.3,32%,1.36,72%,0.39,50%,88%,0,
David Michaud,"5' 9""",155 lbs.,,Orthodox,10-Nov-88,3.25,43%,4.45,54%,2.53,58%,77%,0.7,
Andreas Michailidis,"6' 0""",185 lbs.,"76""",Orthodox,18-Jul-88,4.6,50%,3.6,63%,0,0%,0%,0,
Kristof Midoux,"6' 1""",220 lbs.,,Orthodox,30-Jul-74,0.7,43%,2.89,49%,0,0%,0%,0,
Keith Mielke,"5' 8""",185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Zachary Micklewright,"6' 0""",155 lbs.,"74""",Southpaw,21-Aug-76,5.56,53%,4.72,54%,0.7,12%,100%,0,
Chris Mierzwiak,"6' 1""",185 lbs.,,,14-Feb-88,1.6,61%,1.73,48%,2,28%,0%,1,
Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,30-Mar-80,1.23,35%,5.95,47%,0,0%,33%,0,
Gabriel Miglioli,"5' 8""",170 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Billy Miles,"5' 10""",170 lbs.,,Orthodox,28-Apr-78,0,0%,1.25,33%,0,0%,0%,0,
Phillip Miller,"5' 11""",185 lbs.,,Orthodox,20-Feb-79,1.61,54%,1.93,50%,3.62,25%,100%,0.6,
Jason Miller,"6' 1""",185 lbs.,,Orthodox,24-Dec-80,1.83,43%,2.3,49%,1.31,28%,43%,1.3,
Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,30-Jun-81,2.03,36%,3.06,49%,1.67,54%,47%,1.8,
Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,01-Dec-87,3.86,46%,2.95,61%,0.43,100%,57%,0,
Pat Miletich,"5' 10""",170 lbs.,,Orthodox,09-Mar-68,1.79,45%,1.66,63%,1.96,100%,54%,1,
Cole Miller,"6' 1""",145 lbs.,"73""",Orthodox,26-Apr-84,3,33%,3.88,59%,0.6,36%,38%,1.8,
Chris Mickle,"5' 9""",145 lbs.,,Orthodox,10-Jul-83,3.03,27%,9.7,48%,0,0%,0%,0,
Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,30-Aug-83,2.73,40%,2.99,59%,1.69,43%,46%,1.9,
Micah Miller,"6' 0""",145 lbs.,,Orthodox,14-Feb-87,1.33,33%,2.15,54%,0.98,37%,21%,2,
Aaron Miller,"5' 9""",145 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Henry Miller,"5' 7""",270 lbs.,,Southpaw,16-Jul-69,1.25,36%,2.16,54%,0.55,25%,60%,0,
Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,29-Sep-82,2.08,52%,2.87,43%,1.18,66%,58%,0,
Eddy Millis,"6' 1""",185 lbs.,,,,0,0%,3.36,22%,0,0%,0%,7.2,
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,03-Jul-87,3.85,46%,4.79,43%,0,0%,64%,0,
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,02-May-82,3.23,38%,3.7,47%,1.85,20%,50%,0,
Stipe Miocic,"6' 4""",240 lbs.,"80""",Orthodox,19-Aug-82,4.9,52%,3.75,55%,1.92,34%,70%,0,
Vitaly Minakov,"6' 2""",249 lbs.,,,06-Feb-85,0,0%,0,0%,0,0%,0%,0,
Darrick Minner,"5' 7""",145 lbs.,"69""",Orthodox,28-Apr-90,3.24,70%,1.4,43%,3,62%,60%,3.6,
Mike Minniger,,,,,,0,0%,0,0%,0,0%,0%,0,
Carlton Minus,"5' 10""",170 lbs.,"75""",Orthodox,26-Apr-93,3.5,40%,4.97,50%,0,0%,58%,0,
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,12-Jan-76,0.88,40%,1.66,49%,1.82,41%,5%,1.9,
Juan Miranda,,155 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Mario Miranda,"6' 3""",185 lbs.,"74""",Orthodox,12-Jul-79,1.96,54%,2.46,36%,1.02,60%,54%,0,
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,24-May-79,2.18,47%,3.84,38%,2.02,40%,54%,2,
